                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8031,                 1.9702,                 1.0638,                0.24204,                0.37528,                0.15383,                 0.0455,                  2.436,                 6.7292,                 1.0194,             0.00064762,             0.00064762,             0.00064762
                      2,                  2.411,                 1.0037,                0.95482,                0.02914,                0.02762,                0.00853,                0.00266,                 4.2468,                 10.537,                 2.0494,              0.0013013,              0.0013013,              0.0013013
                      3,                  2.416,                0.98447,                0.94761,                0.53185,                0.20638,                0.21024,                0.07433,                 2.6904,                 2.4796,                 1.0916,              0.0019417,              0.0019417,              0.0019417
                      4,                 2.3311,                0.97104,                0.94141,                0.50346,                0.53018,                0.45218,                0.12095,                 2.3016,                 1.8985,                0.99722,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2557,                0.91009,                 0.9199,                0.70656,                0.68698,                 0.6645,                 0.2283,                 2.1048,                0.90799,                0.94455,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.2694,                0.90543,                 0.9353,                0.69765,                 0.6879,                0.71711,                 0.2626,                 2.0594,                 1.0324,                0.95394,              0.0019208,              0.0019208,              0.0019208
                      7,                  2.311,                0.91057,                0.93142,                0.25933,                0.24525,                0.14933,                0.04088,                  2.734,                 1.6637,                 1.0721,               0.001901,               0.001901,               0.001901
                      8,                 2.1906,                0.86289,                0.91647,                0.64051,                0.54698,                0.58186,                0.18425,                 2.2326,                   1.05,                0.97642,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.176,                0.86132,                0.92013,                0.71436,                0.66657,                0.69015,                0.22533,                 2.3609,                 1.1071,                0.99865,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2044,                0.88422,                0.92186,                0.25793,                0.24487,                0.15673,                 0.0501,                  2.679,                 1.0073,                 1.0291,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1844,                0.84459,                 0.9162,                0.54081,                0.55265,                0.51671,                0.15945,                 2.2298,                 1.0789,                0.96367,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0941,                0.81845,                0.90972,                0.62846,                0.66368,                0.63042,                0.21321,                 2.1298,                0.89342,                0.94245,               0.001802,               0.001802,               0.001802
                     13,                 2.0768,                0.81474,                0.90137,                0.72153,                0.69646,                0.72478,                0.26022,                  2.014,                0.84469,                0.93153,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1009,                0.79896,                 0.9029,                0.78178,                0.75342,                0.78501,                 0.3154,                 1.8692,                0.81935,                0.92052,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0436,                0.77794,                0.89864,                0.65281,                0.64465,                0.63678,                0.23493,                 2.0208,                0.86686,                0.93205,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0252,                0.77431,                 0.9023,                0.68115,                0.71441,                0.69859,                0.24825,                 1.9751,                0.96673,                0.93885,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0179,                0.77995,                0.89551,                0.62688,                0.64721,                0.61677,                0.21251,                 2.0778,                0.94915,                 0.9428,               0.001703,               0.001703,               0.001703
                     18,                 2.0391,                0.78265,                0.90214,                0.80544,                0.77563,                0.79854,                0.29007,                   2.08,                0.87516,                0.95657,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0252,                0.78021,                 0.8972,                0.53586,                0.58087,                0.50898,                0.14673,                 2.3472,                0.96992,                0.98571,              0.0016634,              0.0016634,              0.0016634
