                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.715,                 3.7396,                 1.4086,                0.19898,                0.26301,                0.15061,                0.05957,                 2.3737,                 2.6033,                 1.2432,             0.00040799,             0.00040799,             0.00040799
                      2,                 2.5028,                 1.8729,                 1.2364,                0.23358,                0.29535,                0.21841,                 0.1075,                  2.578,                    inf,                 1.4468,             0.00081649,             0.00081649,             0.00081649
                      3,                 2.4248,                 1.5583,                 1.1964,                0.66935,                0.24425,                0.31557,                0.12966,                 2.2935,                  5.297,                 1.2338,              0.0012167,              0.0012167,              0.0012167
                      4,                 2.2974,                 1.3522,                 1.1693,                0.42483,                0.41448,                0.35113,                0.14506,                 2.2146,                 1.9668,                 1.1829,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2125,                 1.2965,                  1.149,                0.53959,                0.32193,                0.32454,                 0.1334,                 2.1613,                 1.8308,                 1.2198,              0.0012129,              0.0012129,              0.0012129
                      6,                 2.1943,                 1.1665,                 1.1496,                0.66549,                0.53411,                0.58482,                0.26467,                 2.1476,                 1.6979,                 1.1592,              0.0012005,              0.0012005,              0.0012005
                      7,                 2.1226,                 1.1449,                 1.1186,                0.67335,                0.57301,                0.62604,                0.28881,                 1.9878,                 1.3124,                 1.1095,              0.0011881,              0.0011881,              0.0011881
                      8,                 2.0625,                  1.145,                 1.0718,                0.64219,                0.49598,                0.58744,                0.29287,                 2.1487,                 1.1658,                 1.1668,              0.0011757,              0.0011757,              0.0011757
                      9,                 2.0638,                 1.0767,                 1.0977,                0.67309,                0.62746,                0.65106,                0.30989,                 1.9244,                 1.1059,                 1.0963,              0.0011634,              0.0011634,              0.0011634
                     10,                  1.982,                 1.0271,                 1.0606,                0.76262,                0.67462,                0.71178,                0.36297,                 1.8729,                 1.0485,                 1.0606,               0.001151,               0.001151,               0.001151
                     11,                 1.9558,                 1.0041,                 1.0785,                0.78083,                0.56667,                0.65825,                0.28536,                 1.9267,                 1.0195,                 1.0808,              0.0011386,              0.0011386,              0.0011386
