                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3083,                 2.6583,                 1.2433,                 0.5284,                0.36916,                0.39394,                0.17926,                 2.3314,                 2.7755,                 1.1463,             0.00033092,             0.00033092,             0.00033092
                      2,                 2.1285,                 1.4626,                 1.1621,                0.60295,                0.38106,                0.40947,                0.17834,                 2.2778,                 3.7555,                 1.1932,             0.00065768,             0.00065768,             0.00065768
                      3,                 2.1197,                  1.397,                 1.1677,                0.41974,                0.27889,                 0.2576,                0.11489,                 2.4053,                 4.9277,                  1.246,             0.00097783,             0.00097783,             0.00097783
                      4,                 2.0798,                 1.2823,                 1.1363,                0.62367,                0.53182,                0.55306,                0.23768,                 2.1961,                 3.5865,                 1.1571,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9696,                 1.1564,                 1.1098,                0.67103,                0.56282,                0.60733,                0.27731,                 2.0785,                 1.6691,                 1.0756,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.9183,                 1.0682,                 1.0821,                0.70099,                0.58208,                0.63184,                0.29379,                 2.0363,                 1.2409,                 1.0636,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8787,                  1.046,                 1.0758,                0.71933,                0.59683,                0.64036,                0.30399,                 2.0504,                 3.2824,                 1.0749,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.8479,                 1.0069,                 1.0522,                0.73084,                 0.6234,                0.68013,                0.32892,                 1.9751,                 1.4964,                 1.0462,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.8118,                0.98684,                 1.0455,                0.68639,                0.60838,                0.65436,                0.30642,                 2.0463,                 1.3346,                 1.0473,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7759,                0.93073,                 1.0279,                0.73878,                0.62109,                0.67957,                0.31568,                 1.9998,                 1.6865,                 1.0427,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.7204,                0.90269,                   1.02,                0.78722,                0.64795,                0.71944,                0.35169,                 1.9043,                  1.078,                 1.0251,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6821,                0.86262,                 1.0092,                0.76481,                0.67166,                0.72397,                0.36031,                 1.8194,                 1.4684,                 1.0105,               0.000901,               0.000901,               0.000901
                     13,                 1.6935,                0.86059,                 1.0067,                0.76904,                0.68398,                0.74328,                0.38685,                 1.8161,                0.94553,                 1.0053,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6376,                0.84047,                0.99033,                0.81563,                0.68724,                0.75861,                0.38971,                 1.7409,                0.93643,                 0.9925,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6242,                0.81184,                0.98606,                0.79335,                0.66438,                 0.7415,                0.38167,                 1.7426,                 1.1968,                0.98663,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6052,                0.81196,                0.98423,                0.82179,                0.71249,                0.78383,                0.41382,                 1.7185,                0.88885,                0.99481,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6071,                 0.8109,                0.98538,                0.82706,                0.67427,                0.76941,                0.39833,                  1.736,                0.95385,                0.98389,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5815,                0.79854,                0.97498,                0.82579,                0.70127,                0.77484,                0.40458,                 1.6953,                 1.0061,                0.98207,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5708,                0.77503,                0.97004,                0.83398,                0.71481,                0.78868,                0.40723,                 1.7748,                0.81574,                 0.9781,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5459,                0.76013,                0.96022,                0.82048,                0.72965,                0.80155,                0.43107,                 1.7096,                0.85093,                0.97859,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5253,                 0.7542,                0.96565,                 0.8371,                0.72426,                0.80345,                0.44361,                 1.6608,                0.80035,                0.96954,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.5149,                0.74097,                0.95728,                  0.809,                0.71648,                0.78914,                0.42502,                 1.7853,                0.83318,                0.97314,               0.000802,               0.000802,               0.000802
                     23,                 1.5199,                0.73118,                0.95642,                 0.8487,                0.72871,                0.81329,                0.44546,                 1.6464,                0.75144,                 0.9564,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4857,                0.72002,                0.95734,                0.83254,                0.76237,                 0.8244,                0.44829,                 1.6566,                 0.7965,                0.95955,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4759,                0.72089,                0.94959,                 0.8443,                0.73341,                0.81308,                0.45286,                 1.6314,                0.79167,                0.95184,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4826,                0.71572,                0.94698,                0.86368,                0.73778,                 0.8198,                0.46083,                 1.6125,                0.75331,                0.95214,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4935,                0.72976,                0.94937,                0.85571,                0.74352,                0.82749,                0.45876,                 1.6123,                0.75225,                0.94875,              0.0007525,              0.0007525,              0.0007525
