                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9272,                 2.0061,                 1.1739,                0.36683,                0.36058,                0.28663,                0.12806,                 1.8331,                 52.883,                 1.0883,             0.00033142,             0.00033142,             0.00033142
                      2,                  1.788,                 1.2025,                 1.1072,                 0.5165,                0.52795,                0.46763,                0.20994,                 1.7376,                 4.1963,                 1.0799,             0.00064281,             0.00064281,             0.00064281
                      3,                 1.7524,                 1.0725,                 1.1074,                0.69315,                0.54398,                0.58762,                0.26276,                  1.735,                 6.0414,                 1.0726,             0.00093221,             0.00093221,             0.00093221
                      4,                 1.7809,                 1.0756,                 1.0855,                0.67031,                0.57239,                0.59854,                0.28076,                 1.6856,                 3.2139,                 1.0523,               0.000901,               0.000901,               0.000901
                      5,                  1.676,                0.97354,                 1.0731,                0.71383,                0.57336,                0.64303,                0.32036,                 1.6196,                 1.7087,                 1.0227,               0.000901,               0.000901,               0.000901
                      6,                 1.6082,                0.90489,                 1.0413,                0.73592,                 0.6276,                0.69298,                0.34291,                 1.5833,                 1.0924,                 1.0066,               0.000868,               0.000868,               0.000868
                      7,                  1.582,                0.86964,                 1.0226,                0.75199,                0.67581,                0.73203,                0.37281,                 1.5067,                 1.3965,                0.98188,               0.000835,               0.000835,               0.000835
                      8,                 1.5502,                0.83948,                  1.017,                 0.7663,                0.66958,                0.74214,                0.38006,                 1.5429,                0.95914,                0.99408,               0.000802,               0.000802,               0.000802
                      9,                 1.5046,                0.80289,                 1.0084,                0.79302,                 0.6691,                0.75719,                0.38728,                 1.4916,                0.84335,                0.96801,               0.000769,               0.000769,               0.000769
                     10,                 1.4632,                0.77787,                 1.0035,                0.77525,                0.65191,                0.73304,                0.38286,                  1.472,                 2.6735,                0.97958,               0.000736,               0.000736,               0.000736
                     11,                 1.4616,                0.75885,                 0.9868,                0.82009,                0.71942,                0.78501,                0.42222,                 1.3845,                  1.141,                0.95243,               0.000703,               0.000703,               0.000703
                     12,                 1.4317,                 0.7306,                0.97968,                0.83972,                0.73086,                0.80012,                 0.4399,                 1.3529,                 0.9198,                0.94086,                0.00067,                0.00067,                0.00067
                     13,                 1.3795,                0.70097,                0.97421,                0.84174,                0.70113,                0.78803,                0.42484,                  1.394,                0.86012,                0.94461,               0.000637,               0.000637,               0.000637
                     14,                 1.3888,                0.69433,                0.96893,                0.84447,                0.73974,                0.82278,                0.45677,                 1.3388,                0.65597,                0.93647,               0.000604,               0.000604,               0.000604
                     15,                 1.3485,                0.66761,                 0.9585,                0.84456,                0.75278,                0.81803,                0.45692,                 1.3217,                0.69539,                0.93182,               0.000571,               0.000571,               0.000571
                     16,                 1.3517,                 0.6674,                0.95513,                0.83136,                0.73889,                 0.8027,                0.43743,                  1.364,                 0.7558,                0.93413,               0.000538,               0.000538,               0.000538
                     17,                   1.34,                0.65498,                0.94917,                0.85753,                0.75771,                0.83497,                 0.4851,                 1.2674,                0.65477,                 0.9182,               0.000505,               0.000505,               0.000505
                     18,                 1.3042,                0.63537,                0.94027,                0.86603,                0.75412,                 0.8308,                0.47925,                 1.2598,                0.73772,                0.91063,               0.000472,               0.000472,               0.000472
                     19,                 1.2781,                0.61269,                0.93244,                0.83282,                0.76299,                0.82344,                0.45909,                 1.3044,                0.71481,                0.91285,               0.000439,               0.000439,               0.000439
                     20,                 1.2696,                0.61234,                0.93576,                0.85402,                0.78099,                0.85534,                0.50024,                 1.2589,                0.61858,                0.91045,               0.000406,               0.000406,               0.000406
                     21,                 1.2518,                0.58813,                0.92699,                0.87477,                0.78186,                0.85924,                0.51161,                 1.2184,                0.57811,                0.89794,               0.000373,               0.000373,               0.000373
                     22,                 1.2145,                0.56472,                0.91707,                0.86528,                0.76457,                0.84396,                0.48844,                 1.2488,                0.58329,                0.89939,                0.00034,                0.00034,                0.00034
                     23,                 1.1994,                0.55558,                0.91239,                0.88607,                0.76984,                0.85988,                 0.5124,                 1.2325,                0.57424,                0.89621,               0.000307,               0.000307,               0.000307
                     24,                 1.1938,                0.55114,                0.91161,                0.87265,                0.78612,                0.86107,                 0.5186,                 1.1834,                0.58096,                0.88596,               0.000274,               0.000274,               0.000274
                     25,                 1.1853,                0.54784,                0.90916,                0.86476,                0.79782,                0.86641,                0.52162,                 1.1917,                0.54564,                0.88916,               0.000241,               0.000241,               0.000241
                     26,                 1.1623,                 0.5318,                0.90258,                0.89282,                 0.7845,                0.87189,                0.52766,                 1.1826,                 0.5481,                0.88404,               0.000208,               0.000208,               0.000208
                     27,                 1.1284,                0.51838,                0.89642,                0.87374,                0.80068,                0.87128,                0.53867,                 1.1431,                0.53247,                0.88013,               0.000175,               0.000175,               0.000175
                     28,                  1.113,                 0.5096,                0.89254,                0.87844,                0.81053,                0.87862,                0.54476,                 1.1444,                0.52817,                0.87629,               0.000142,               0.000142,               0.000142
                     29,                 1.1088,                0.50242,                0.89201,                0.87366,                 0.8214,                0.87934,                0.54893,                 1.1329,                0.51478,                0.87635,               0.000109,               0.000109,               0.000109
                     30,                 1.0914,                0.49199,                0.88652,                0.88338,                0.80386,                0.87769,                0.54725,                 1.1313,                0.51347,                0.87715,                7.6e-05,                7.6e-05,                7.6e-05
